queue_no,id_or_packaging_label,name,category,standalone_present,canonical_package_path
001,CORE-001,Aimon,core,YES,canonical/core/CORE-001__Aimon.png
002,CORE-002,Pateric “Pate” Vann,core,YES,canonical/core/CORE-002__Pateric_Pate_Vann.png
003,CORE-003,Traden “Trade” Cor,core,YES,canonical/core/CORE-003__Traden_Trade_Cor.png
004,CORE-004,General Kurg Halbrecht,core,YES,canonical/core/CORE-004__General_Kurg_Halbrecht.png
005,CORE-005,Severin Vale — Guide Form,core,YES,canonical/core/CORE-005__Severin_Vale_Guide_Form.png
006,CORE-006,Illyr,core,YES,canonical/core/CORE-006__Illyr.png
007,CORE-007,Nharos,core,YES,canonical/core/CORE-007__Nharos.png
008,CORE-008,Ser Aldren March,core,NO,
009,CORE-009,Abbess Yselle Marot,core,YES,canonical/core/CORE-009__Abbess_Yselle_Marot.png
010,CORE-010,Provost Corvin Sair,core,YES,canonical/core/CORE-010__Provost_Corvin_Sair.png
011,CORE-011,Warden Samiel Elow,core,NO,
012,CORE-012,Castellan Braska Morn,core,YES,canonical/core/CORE-012__Castellan_Braska_Morn.png
013,CORE-013,Canon Mirelle Avin,core,YES,canonical/core/CORE-013__Canon_Mirelle_Avin.png
014,CORE-014,Marshal Oren Talv,core,YES,canonical/core/CORE-014__Marshal_Oren_Talv.png
015,CORE-015,Hierophant Lucain Serault,core,YES,canonical/core/CORE-015__Hierophant_Lucain_Serault.png
016,CORE-016,Chaplain Aeric Solm,core,YES,canonical/core/CORE-016__Chaplain_Aeric_Solm.png
017,CORE-017,Dame Rhoswen Vey,core,NO,
018,TRN-C01-001,Instructor Beric,trainer,YES,canonical/trainers/TRN-C01-001__Instructor_Beric.png
019,TRN-C01-002,Recruit Elsen,trainer,YES,canonical/trainers/TRN-C01-002__Recruit_Elsen.png
020,TRN-C01-003,Scout Maela,trainer,YES,canonical/trainers/TRN-C01-003__Scout_Maela.png
021,TRN-C02-001,Scout Rell,trainer,YES,canonical/trainers/TRN-C02-001__Scout_Rell.png
022,TRN-C02-002,Soldier Varo,trainer,YES,canonical/trainers/TRN-C02-002__Soldier_Varo.png
023,TRN-C02-003,Hunter Neris,trainer,YES,canonical/trainers/TRN-C02-003__Hunter_Neris.png
024,TRN-C02-004,Officer Halven,trainer,YES,canonical/trainers/TRN-C02-004__Officer_Halven.png
025,TRN-C02-005,Sapper Corren,trainer,YES,canonical/trainers/TRN-C02-005__Sapper_Corren.png
026,TRN-C02-006,Guard Ysarn,trainer,YES,canonical/trainers/TRN-C02-006__Guard_Ysarn.png
027,TRN-C02-007,Beastkeeper Selka,trainer,YES,canonical/trainers/TRN-C02-007__Beastkeeper_Selka.png
028,TRN-C02-008,Veteran Brann,trainer,YES,canonical/trainers/TRN-C02-008__Veteran_Brann.png
029,TRN-C02-009,Ferryman Pella,trainer,YES,canonical/trainers/TRN-C02-009__Ferryman_Pella.png
030,TRN-C03-001,Guard Ansel,trainer,YES,canonical/trainers/TRN-C03-001__Guard_Ansel.png
031,TRN-C03-002,Ferryman Mera,trainer,YES,canonical/trainers/TRN-C03-002__Ferryman_Mera.png
032,TRN-C03-003,Hospitaller Ione,trainer,YES,canonical/trainers/TRN-C03-003__Hospitaller_Ione.png
033,TRN-C03-004,Pilgrim Tomas,trainer,YES,canonical/trainers/TRN-C03-004__Pilgrim_Tomas.png
034,TRN-C03-005,Smuggler Jarek,trainer,YES,canonical/trainers/TRN-C03-005__Smuggler_Jarek.png
035,TRN-C03-006,Field Nurse Selene,trainer,YES,canonical/trainers/TRN-C03-006__Field_Nurse_Selene.png
036,TRN-C03-007,Officer Reth,trainer,YES,canonical/trainers/TRN-C03-007__Officer_Reth.png
037,TRN-C03-008,Shrine Keeper Elia,trainer,YES,canonical/trainers/TRN-C03-008__Shrine_Keeper_Elia.png
038,TRN-C03-009,Riverhand Marrec,trainer,YES,canonical/trainers/TRN-C03-009__Riverhand_Marrec.png
039,TRN-C04-001,Caravan Guard Tovin,trainer,NO,
040,TRN-C04-002,Merchant Sella,trainer,YES,canonical/trainers/TRN-C04-002__Merchant_Sella.png
041,TRN-C04-003,Smuggler Caro,trainer,NO,
042,TRN-C04-004,Mercenary Joss,trainer,YES,canonical/trainers/TRN-C04-004__Mercenary_Joss.png
043,TRN-C04-005,Ledger Guard Perrin,trainer,YES,canonical/trainers/TRN-C04-005__Ledger_Guard_Perrin.png
044,TRN-C04-006,Fixer Vael,trainer,YES,canonical/trainers/TRN-C04-006__Fixer_Vael.png
